system:index,precipitation
20000601000000,0.015149936897431545
20000701000000,0.00237104560883288
20000801000000,0.005485048176542245
20000901000000,0.022714562505004567
20001001000000,0.14539623896589696
20001101000000,0.06337899225257604
20001201000000,0.09884914579159361
20010101000000,0.08937325665639186
20010201000000,0.04434248619204524
20010301000000,0.0697156178609523
20010401000000,0.03919002011094602
20010501000000,0.07892073103022741
20010601000000,0.008071731026243707
20010701000000,0.004296556237201919
20010801000000,0.015757352300160742
20010901000000,0.08490592433721374
20011001000000,0.08255181100796388
20011101000000,0.05781143364643556
20011201000000,0.06254418812100053
20020101000000,0.04380392380992868
20020201000000,0.0044490578708525855
20020301000000,0.08592482192708903
20020401000000,0.11189368702300274
20020501000000,0.10628530050553507
20020601000000,0.07122346396093125
20020701000000,0.012180380131578912
20020801000000,0.06436000390497656
20020901000000,0.06438954281633373
20021001000000,0.0664516807253205
20021101000000,0.08072971593958284
20021201000000,0.07688149956372145
20030101000000,0.06092194731615147
20030201000000,0.11331255569884353
20030301000000,0.05851054517701431
20030401000000,0.06838790528636741
20030501000000,0.10486129517736255
20030601000000,0.03676902733809966
20030701000000,0.004851424455045013
20030801000000,0.04195067882264351
20030901000000,0.06315883058443371
20031001000000,0.14135699601997317
20031101000000,0.05588420664947325
20031201000000,0.041970243136822356
20040101000000,0.014592147424552978
20040201000000,0.08982668227445109
20040301000000,0.1263743908844512
20040401000000,0.1233096253316961
20040501000000,0.1376330929160013
20040601000000,0.027647702877152278
20040701000000,0.026181045006432334
20040801000000,0.009070412783809432
20040901000000,0.06405031698779526
20041001000000,0.06575661632358336
20041101000000,0.020890049874772325
20041201000000,0.07204025739999988
20050101000000,0.0023813367637349554
20050201000000,0.055111704763238116
20050301000000,0.02549256053521177
20050401000000,0.03269853124910884
20050501000000,0.0186520205269369
20050601000000,0.04725076132499585
20050701000000,0.026191310384930243
20050801000000,0.009900947426525926
20050901000000,0.06364935841872864
20051001000000,0.06264502191149071
20051101000000,0.0759269446547742
20051201000000,0.039198116993380216
20060101000000,0.07824075108963252
20060201000000,0.055453699380073315
20060301000000,0.034648225740284956
20060401000000,0.06936236852902782
20060501000000,0.05356730938911837
20060601000000,0.06006869527425424
20060701000000,0.018296953138355554
20060801000000,0.007471508171830181
20060901000000,0.07332524033119343
20061001000000,0.06303154461644953
20061101000000,0.11471999340523382
20061201000000,0.023218135761632747
20070101000000,0.044500477783657365
20070201000000,0.0705124104938638
20070301000000,0.07600861537412291
20070401000000,0.17244397432049938
20070501000000,0.05712771193978616
20070601000000,0.0251685976133909
20070701000000,5.015541742762204E-4
20070801000000,0.03375581290651112
20070901000000,0.05234390214608494
20071001000000,0.10395705470495346
20071101000000,0.022037485472310107
20071201000000,0.03920805643486731
20080101000000,0.03638019465551263
20080201000000,0.06357139624528946
20080301000000,0.019839413850895705
20080401000000,0.1030985004237908
20080501000000,0.16567055569909545
20080601000000,0.11568145211519648
20080701000000,0.00989736010661104
20080801000000,0.006657082066995664
20080901000000,0.07266222897277148
20081001000000,0.19573230745806178
20081101000000,0.051760196227354255
20081201000000,0.057850485013314155
20090101000000,0.0845947058082138
20090201000000,0.04653388890891014
20090301000000,0.09887919636687903
20090401000000,0.04891243628584975
20090501000000,0.027088310921146243
20090601000000,0.013270319742371778
20090701000000,0.0031019278047032194
20090801000000,0.020446862573648174
20090901000000,0.10174751842764694
20091001000000,0.037423176627648116
20091101000000,0.01835761990578679
20091201000000,0.2306793338738825
20100101000000,0.13550716769217105
20100201000000,0.1409063109368046
20100301000000,0.09094711585962689
20100401000000,0.09278559654083705
20100501000000,0.07559399006334176
20100601000000,0.09274760837131621
20100701000000,0.012946188787138463
20100801000000,0.0423122710590408
20100901000000,0.06089911338947751
20101001000000,0.07745431817618828
20101101000000,0.06592893630108017
20101201000000,0.119007837830519
20110101000000,0.03721888402841585
20110201000000,0.04637667036782725
20110301000000,0.0894212973896813
20110401000000,0.08931991349414502
20110501000000,0.10601057342035458
20110601000000,0.030221525957181767
20110701000000,0.008109898072901264
20110801000000,0.009433326356254908
20110901000000,0.021702259322471967
20111001000000,0.041295660214524924
20111101000000,0.13896101770614974
20111201000000,0.009981252323692642
20120101000000,0.03201213882730913
20120201000000,0.006358096274592183
20120301000000,0.051287249344465206
20120401000000,0.08775487674032023
20120501000000,0.026743146446117826
20120601000000,0.02285462904140555
20120701000000,0.010063794507952141
20120801000000,0.003730349304051941
20120901000000,0.10115486769845318
20121001000000,0.12151380870295705
20121101000000,0.14246651549764783
20121201000000,0.014809702713395517
20130101000000,0.05766342051540725
20130201000000,0.08016422538666224
20130301000000,0.1784748417362226
20130401000000,0.11424310952140887
20130501000000,0.059799267619665454
20130601000000,0.021492960346770812
20130701000000,0.033538067878474145
20130801000000,0.06674357274601293
20130901000000,0.036455740030440185
20131001000000,0.02826186447173066
20131101000000,0.024644448804786452
20131201000000,0.06469842278446324
20140101000000,0.0700329796282735
20140201000000,0.0858498289956276
20140301000000,0.041719535159528344
20140401000000,0.03411998925833931
20140501000000,0.016820107214589795
20140601000000,0.05221449735101676
20140701000000,0.02613833854733324
20140801000000,0.004865266127241871
20140901000000,0.06712301568456491
20141001000000,0.03145064792122129
20141101000000,0.1817008591490793
20141201000000,0.04096603453513131
20150101000000,0.05684007533300634
20150201000000,0.05459864185961614
20150301000000,0.11921178838237233
20150401000000,0.029487296563121136
20150501000000,0.026426862281443853
20150601000000,0.06219513654275995
20150701000000,0.028690824023684884
20150801000000,0.038587528168375004
20150901000000,0.06788585247846618
20151001000000,0.046684374725045046
