system:index,lwe_thickness
20020331_20020429,2.51872322379592
20020430_20020517,2.4833288746604616
20020731_20020830,-3.586960476152793
20020831_20020929,1.991435076081931
20020930_20021030,2.979901942745588
20021031_20021129,2.594486639573976
20021130_20021230,10.798245998304143
20021231_20030130,7.350428217993855
20030131_20030227,7.691903526400953
20030228_20030330,6.008874898399032
20030331_20030429,10.320420174132838
20030430_20030520,11.076952328178837
20030630_20030730,1.5448306945336903
20030731_20030830,-2.5538912664914584
20030831_20030929,-0.625381194316045
20030930_20031030,2.0167091292979116
20031031_20031129,8.428456403519764
20031130_20031230,13.241648956406667
20031231_20040112,11.67729525800775
20040203_20040228,12.396573309059992
20040229_20040330,12.496616257093653
20040331_20040429,14.928114411625817
20040430_20040530,11.606417352538362
20040531_20040629,3.9974088995668957
20040630_20040730,5.885681479384463
20040731_20040830,4.107349916915215
20040831_20040929,3.65282345781549
20040930_20041030,-0.18705885045249815
20041031_20041129,1.5707847189342523
20041130_20041230,3.9775591604130263
20041231_20050130,2.4014297185650015
20050131_20050227,1.8242280929999346
20050228_20050330,3.714362948173463
20050331_20050429,0.22471224164570813
20050430_20050530,0.149142035487845
20050531_20050629,-2.2920963384958064
20050630_20050730,-4.648763105999873
20050731_20050830,-3.1162840689348137
20050831_20050929,-5.194275601562307
20050930_20051030,-5.552512436900482
20051031_20051129,-1.6619608395548617
20051130_20051230,4.506464717997975
20051231_20060130,2.6576022484524096
20060131_20060227,3.0032098296515564
20060228_20060330,4.585548299278404
20060331_20060429,2.693994414033174
20060430_20060530,1.1277459785060877
20060531_20060629,-1.3830874923432326
20060630_20060730,-3.309518544264332
20060731_20060830,-4.960429746452913
20060831_20060929,-6.855280751157746
20060930_20061030,-3.2040536992998874
20061031_20061129,1.7613323505220855
20061130_20061230,5.768600954224045
20061231_20070130,2.937289558322906
20070131_20070227,1.7082120224086488
20070228_20070330,4.3200293491545985
20070331_20070429,6.993829521904505
20070430_20070530,5.381897807922602
20070531_20070629,2.9203855644164527
20070630_20070730,-2.125585139990047
20070731_20070830,-3.458110042177335
20070831_20070929,-2.5602995071375823
20070930_20071030,-0.025197833106116008
20071031_20071129,-2.6828315819429314
20071130_20071230,-1.8844316855819976
20071231_20080130,0.5161447950823153
20080131_20080228,-0.8171549912357783
20080229_20080330,-0.7292773297803556
20080331_20080429,0.27964932585115676
20080430_20080530,1.0539568578543062
20080531_20080629,0.5765547575147743
20080630_20080730,-2.3354007688166654
20080731_20080830,-3.387293553706453
20080831_20080929,-2.839581974577353
20080930_20081030,-4.7287072737516915
20081031_20081129,-0.8276231724584555
20081130_20081230,1.9693856823442424
20081231_20090130,5.029059776600722
20090131_20090227,8.319650748483642
20090228_20090330,3.0824116993181327
20090331_20090429,1.5263197023605848
20090430_20090530,0.34804450298640077
20090531_20090629,2.517792795523807
20090630_20090730,0.4060100309735084
20090731_20090830,-1.5316349899211978
20090831_20090929,-5.850608116742418
20090930_20091030,-5.366703476552114
20091031_20091129,-4.214123724289433
20091130_20091230,3.23782945817317
20091231_20100130,13.180636240839764
20100131_20100227,12.73178866339828
20100228_20100330,12.31814345831032
20100331_20100429,11.220733382943823
20100430_20100530,13.58465857405196
20100531_20100629,12.046923844348445
20100630_20100730,5.212583321234948
20100731_20100830,1.8327469448277647
20100831_20100929,-0.32641041770596857
20100930_20101030,3.092855938216477
20101031_20101129,6.149447767996268
20101130_20101230,12.462942858431294
20110207_20110227,10.997961640097007
20110228_20110330,13.016468864604636
20110331_20110429,14.790036207735344
20110430_20110530,11.392498900852903
20110706_20110730,5.524522680394117
20110731_20110830,2.822078150901749
20110831_20110929,3.517006044015094
20110930_20111030,-0.4620243006201541
20111016_20111115,1.405172702129736
20111218_20120114,5.4811949095147305
20111231_20120130,6.00066890308614
20120131_20120228,3.771817044210426
20120229_20120330,1.191205957876324
20120331_20120418,4.0047291135134095
20120531_20120629,-0.41848885945995207
20120630_20120730,-2.5498652102241373
20120731_20120830,-4.031133098323092
20120831_20120923,-4.768696964513705
20121108_20121129,4.819505372172959
20121130_20121230,9.387057587476253
20121231_20130130,9.73141793461497
20130131_20130225,8.286301490589782
20130411_20130429,11.976351929101899
20130430_20130530,12.789243450593009
20130531_20130629,12.816406168713971
20130630_20130730,4.52142566369827
20130930_20131030,1.0328912248087967
20131031_20131129,7.36494989003501
20131130_20131230,8.295117354458004
20131231_20140116,12.004988512694641
20140302_20140330,8.986536810844942
20140331_20140429,12.24357747027631
20140430_20140530,7.1796493829179475
20140531_20140623,5.594101554771502
20140731_20140830,2.700421629445433
20140831_20140929,3.88056529322154
20140930_20141030,5.284881192958952
20141031_20141201,10.977853076271519
20150112_20150130,8.18433213836494
20150131_20150227,14.254621663335517
20150228_20150330,12.477224883828118
20150331_20150429,6.664651242405913
20150411_20150510,5.08939998986995
20150628_20150730,5.451629191616181
20150731_20150830,5.150314087020039
20150831_20150926,5.992502112990284
20151210_20160102,3.7202301415100614
20160103_20160127,6.866545711848691
20160128_20160228,9.547698083771198
20160229_20160330,9.32118916811402
20160508_20160530,11.97353266106899
20160531_20160629,6.578384950146816
20160630_20160728,4.924322338193694
20160807_20160902,7.429763858178436
20161113_20161209,12.172655672505304
20161210_20170105,5.876274495619388
20170106_20170202,5.733165511731446
20170316_20170413,4.14588257271777
20170409_20170507,2.403172353720098
20170501_20170521,5.795735317952737
20170522_20170628,1.8335844839176083
